iter	Passed	Remaining
0	205	164394
1	269	107536
2	340	90381
3	423	84285
4	474	75451
5	540	71579
6	592	67066
7	660	65397
8	727	63964
9	791	62523
10	833	59755
11	896	58865
12	949	57457
13	1013	56885
14	1050	54985
15	1083	53102
16	1150	52996
17	1216	52830
18	1280	52641
19	1297	50606
20	1333	49459
21	1352	47814
22	1416	47867
23	1480	47870
24	1545	47910
25	1575	46905
26	1629	46644
27	1698	46820
28	1714	45580
29	1762	45229
30	1825	45277
31	1866	44790
32	1916	44546
33	1980	44624
34	2044	44695
35	2106	44712
36	2123	43784
37	2189	43914
38	2259	44093
39	2327	44227
40	2400	44443
41	2468	44549
42	2524	44438
43	2591	44525
44	2655	44553
45	2719	44568
46	2783	44589
47	2845	44578
48	2876	44082
49	2900	43503
50	2965	43556
51	3028	43561
52	3092	43580
53	3155	43598
54	3219	43610
55	3282	43611
56	3343	43582
57	3404	43551
58	3465	43521
59	3527	43508
60	3589	43491
61	3653	43490
62	3716	43479
63	3778	43452
64	3839	43413
65	3855	42882
66	3919	42879
67	3967	42707
68	4028	42678
69	4067	42413
70	4126	42371
71	4189	42362
72	4260	42425
73	4325	42435
74	4396	42494
75	4446	42356
76	4506	42317
77	4571	42311
78	4638	42335
79	4700	42303
80	4761	42261
81	4821	42217
82	4890	42244
83	4955	42240
84	5018	42211
85	5080	42176
86	5143	42156
87	5205	42115
88	5267	42078
89	5329	42042
90	5391	42009
91	5452	41964
92	5515	41927
93	5575	41874
94	5644	41885
95	5696	41777
96	5712	41401
97	5775	41374
98	5837	41331
99	5897	41285
100	5961	41259
101	6024	41223
102	6085	41179
103	6148	41147
104	6210	41108
105	6272	41066
106	6334	41026
107	6397	40992
108	6459	40949
109	6520	40902
110	6583	40867
111	6607	40590
112	6667	40538
113	6731	40505
114	6791	40454
115	6853	40411
116	6915	40367
117	6977	40330
118	7043	40305
119	7105	40264
120	7168	40227
121	7236	40218
122	7331	40351
123	7396	40325
124	7458	40277
125	7524	40248
126	7603	40294
127	7669	40265
128	7748	40305
129	7814	40276
130	7879	40239
131	7945	40206
132	8009	40170
133	8074	40130
134	8139	40094
135	8211	40089
136	8288	40112
137	8359	40099
138	8427	40075
139	8492	40033
140	8560	40008
141	8631	39998
142	8709	40017
143	8787	40031
144	8852	39990
145	8919	39956
146	8989	39933
147	9055	39891
148	9119	39845
149	9184	39798
150	9248	39751
151	9313	39703
152	9379	39662
153	9443	39615
154	9510	39576
155	9580	39550
156	9651	39526
157	9714	39471
158	9779	39426
159	9855	39423
160	9895	39275
161	9964	39242
162	10030	39197
163	10103	39182
164	10183	39191
165	10252	39157
166	10327	39143
167	10400	39123
168	10468	39087
169	10543	39072
170	10634	39116
171	10701	39074
172	10767	39022
173	10831	38967
174	10896	38914
175	10963	38870
176	11028	38817
177	11094	38769
178	11150	38685
179	11217	38637
180	11294	38624
181	11360	38575
182	11423	38514
183	11493	38477
184	11558	38424
185	11620	38360
186	11684	38301
187	11748	38243
188	11812	38187
189	11874	38122
190	11939	38068
191	12009	38029
192	12071	37965
193	12133	37901
194	12199	37850
195	12259	37779
196	12323	37720
197	12382	37648
198	12444	37584
199	12508	37525
200	12573	37470
201	12636	37408
202	12700	37351
203	12760	37279
204	12821	37215
205	12883	37150
206	12948	37093
207	13011	37033
208	13073	36969
209	13136	36908
210	13195	36833
211	13256	36768
212	13318	36703
213	13386	36656
214	13450	36598
215	13514	36538
216	13576	36475
217	13638	36411
218	13703	36354
219	13776	36321
220	13838	36256
221	13929	36266
222	13976	36164
223	14045	36116
224	14112	36065
225	14177	36007
226	14247	35963
227	14309	35898
228	14375	35844
229	14442	35792
230	14509	35740
231	14580	35697
232	14644	35636
233	14709	35579
234	14775	35523
235	14838	35461
236	14903	35404
237	14968	35346
238	15037	35296
239	15103	35241
240	15172	35192
241	15235	35129
242	15300	35072
